Timer,K_decision,Rejection_Threshold,Final_Error,Converged
3,2,1.5,85.11150986636224,False
3,2,2.0,40.06422490810052,False
3,2,2.5,18.1963506906247,False
3,2,3.0,18.260586094887394,False
3,2,3.5,22.92811615188367,False
3,2,4.0,141.7492943384183,False
3,2,4.5,166.17185817007183,False
3,2,5.0,166.1718581700491,False
3,3,1.0,133.62017127021952,False
3,3,1.5,52.36114745297555,False
3,3,2.0,24.034443702520683,False
3,3,2.5,15.197932456634344,False
3,3,3.0,23.305919366297598,False
3,3,3.5,172.93679936862438,False
3,3,4.0,187.38061129609014,False
3,3,4.5,187.38061129603707,False
3,3,5.0,187.38061129601857,False
3,4,1.0,75.85534293435502,False
3,4,1.5,55.50270497064308,False
3,4,2.0,11.726270274561445,False
3,4,2.5,13.892744960708315,False
3,4,3.0,166.17185817008314,False
3,4,3.5,187.38061129558676,False
3,4,4.0,187.3806112960551,False
3,4,4.5,187.38061129607945,False
3,4,5.0,152.27153551283186,False
4,1,1.0,64.85616562725048,False
4,1,1.5,85.80656242543226,False
4,1,2.0,38.18741676871584,False
4,1,2.5,38.11846667512022,False
4,1,3.0,59.60900700871264,False
4,1,3.5,53.97595490470291,False
4,1,4.0,26.647615112284008,False
4,1,4.5,26.64761511228245,False
4,1,5.0,26.647615111970936,False
4,2,1.0,59.66513805264879,False
4,2,1.5,53.47967825297654,False
4,2,2.0,33.40809359753023,False
4,2,2.5,13.985976987525243,False
4,2,3.0,15.854010505162377,False
4,2,3.5,23.00955579954139,False
4,2,4.0,130.91621967300668,False
4,2,4.5,136.22865939957302,False
4,2,5.0,147.49025545574722,False
4,3,1.0,44.60117955891877,False
4,3,1.5,70.51167187384179,False
4,3,2.0,30.117688056775,False
4,3,2.5,14.147266159030519,False
4,3,3.0,13.892744960705235,False
4,3,3.5,17.831222045164292,False
4,3,4.0,130.91621967300665,False
4,3,4.5,130.91621967300668,False
4,3,5.0,130.91621967300668,False
4,4,1.0,52.95797285193629,False
4,4,1.5,32.071684517837674,False
4,4,2.0,29.204390877619673,False
4,4,2.5,141.08255030538746,False
4,4,3.0,140.48660807444907,False
4,4,3.5,146.26353328934258,False
4,4,4.0,152.2715355128319,False
4,4,4.5,152.2715355128319,False
4,4,5.0,152.2715355128319,False
5,1,1.0,72.5264661339877,False
5,1,1.5,46.760775384274964,False
5,1,2.0,25.350009492886286,False
5,1,2.5,29.75170825979528,False
5,1,3.0,28.75519545378369,False
5,1,3.5,23.305919366298088,False
5,1,4.0,23.30591936629978,False
5,1,4.5,23.30591936629978,False
5,1,5.0,23.30591936629978,False
5,2,1.0,70.7708906420436,False
5,2,1.5,46.81216848728179,False
5,2,2.0,28.567746077890426,False
5,2,2.5,51.78335650939731,False
5,2,3.0,179.303942689219,False
5,2,3.5,134.92768003747605,False
5,2,4.0,134.92768003747605,False
5,2,4.5,134.92768003747605,False
5,2,5.0,134.92768003747605,False
5,3,1.0,98.78649676194483,False
5,3,1.5,34.35204000424377,False
5,3,2.0,187.38061129572287,False
5,3,2.5,187.3806112959279,False
5,3,3.0,187.38061129609457,False
5,3,3.5,152.2715355128319,False
5,3,4.0,152.2715355128319,False
5,3,4.5,152.2715355128319,False
5,3,5.0,152.27153551283192,False
5,4,1.0,52.949784952083725,False
5,4,1.5,185.56596805237487,False
5,4,2.0,168.3982783241532,False
5,4,2.5,152.27153551283297,False
5,4,3.0,152.27153551283297,False
5,4,3.5,152.2715355128319,False
5,4,4.0,152.2715355128319,False
5,4,4.5,152.2715355128319,False
5,4,5.0,152.2715355128319,False
6,1,1.0,90.29532680732542,False
6,1,1.5,72.59797448518496,False
6,1,2.0,41.51391904752315,False
6,1,2.5,56.89950379438932,False
6,1,3.0,69.59853215803906,False
6,1,3.5,36.43361589356133,False
6,1,4.0,26.647615112345363,False
6,1,4.5,23.305919366282808,False
6,1,5.0,13.853678498579022,False
6,2,1.0,52.913479498577246,False
6,2,1.5,40.23430057612186,False
6,2,2.0,16.751704911173224,False
6,2,2.5,180.75950951603585,False
6,2,3.0,166.17185817012734,False
6,2,3.5,134.92768003747605,False
6,2,4.0,134.92768003747605,False
6,2,4.5,134.92768003747608,False
6,2,5.0,140.4866080744491,False
6,3,1.0,114.74205279066022,False
6,3,1.5,26.652031830155384,False
6,3,2.0,16.751704718411847,False
6,3,2.5,166.17185817080104,False
6,3,3.0,166.17185816927744,False
6,3,3.5,134.92768003747594,False
6,3,4.0,134.92768003747594,False
6,3,4.5,134.92768003747597,False
6,3,5.0,134.92768003747597,False
6,4,1.0,31.24574551760834,False
6,4,1.5,98.65132242911868,False
6,4,2.0,152.27153551283178,False
6,4,2.5,152.2715355128319,False
6,4,3.0,152.2715355128319,False
6,4,3.5,152.2715355128319,False
6,4,4.0,152.2715355128319,False
6,4,4.5,152.2715355128319,False
6,4,5.0,152.2715355128319,False
