Timer,K_decision,Rejection_Threshold,Final_Error,Converged
1,1,1,102.04762151769995,False
1,1,2,64.43482588394546,False
1,1,3,54.111669970618166,False
1,1,4,28.567020707277496,False
1,1,5,20.30918892071154,False
1,1,6,21.6244425001558,False
1,1,7,10.512868745249106,False
1,1,8,20.19298792717957,False
1,1,9,14.731938636676626,False
1,1,10,17.444912050463127,False
1,1,11,19.12899573600079,False
1,1,12,19.61273982250998,False
1,1,13,22.851403326541856,False
1,1,14,14.2862875949511,False
1,1,15,17.35481930679654,False
1,2,1,96.76602304766082,False
1,2,2,57.43473418101899,False
1,2,3,44.7244150813959,False
1,2,4,36.49547410040711,False
1,2,5,24.768599299339105,False
1,2,6,11.695755226331013,False
1,2,7,13.455909719775773,False
1,2,8,8.702631589651858e-12,False
1,2,9,2.7891563175666263e-11,False
1,2,10,4.398077303343522e-12,False
1,2,11,8.186264527160672e-11,False
1,2,12,2.5074356442505066e-10,False
1,2,13,1.2246473052300856e-11,False
1,2,14,1167.2974829659531,False
1,2,15,1188.915391578906,False
1,4,1,111.83437869612705,False
1,4,2,53.35422022041081,False
1,4,3,69.41217922198386,False
1,4,4,40.21791686775688,False
1,4,5,44.384890687813645,False
1,4,6,40.346223563148506,False
1,4,7,15.632919269664246,False
1,4,8,1.2807327753319468e-10,False
1,4,9,2.2021292916789768,False
1,4,10,1.1861060375880353e-09,False
1,4,11,1.0648155333946907e-08,False
1,4,12,0.07555867011191349,False
1,4,13,922.0278402575901,False
1,4,14,967.5266911898417,False
1,4,15,992.4500939586211,False
1,8,1,107.04349767191697,False
1,8,2,79.90650176269372,False
1,8,3,73.27577517890147,False
1,8,4,45.70376498680477,False
1,8,5,49.492228748171996,False
1,8,6,36.203037901838364,False
1,8,7,40.596034939558386,False
1,8,8,23.139564039342865,False
1,8,9,21.118145485049652,False
1,8,10,9.853759420154294,False
1,8,11,1089.7261179432471,False
1,8,12,1082.151463431174,False
1,8,13,1219.3427585157665,False
1,8,14,1036.619805782657,False
1,8,15,1143.8865256073627,False
1,16,1,136.8717291521043,False
1,16,2,87.49550028857288,False
1,16,3,64.01076578969891,False
1,16,4,42.52617464520597,False
1,16,5,62.500157656321576,False
1,16,6,45.08360357013608,False
1,16,7,31.188455532194382,False
1,16,8,21.14461473122773,False
1,16,9,18.474369212902836,False
1,16,10,1041.1664493445396,False
1,16,11,923.6577821441398,False
1,16,12,949.0898794433557,False
1,16,13,973.2131356101415,False
1,16,14,970.2118893585081,False
1,16,15,1016.8266616959819,False
1,32,1,134.50224216994272,False
1,32,2,97.22464525951955,False
1,32,3,73.66119704978941,False
1,32,4,57.485905392648675,False
1,32,5,44.690975213319746,False
1,32,6,28.78712132822777,False
1,32,7,25.33498747704976,False
1,32,8,944.8917637999375,False
1,32,9,943.6031283554405,False
1,32,10,24.332065726346414,False
1,32,11,944.8797967820869,False
1,32,12,948.1956999256189,False
1,32,13,963.0487969377133,False
1,32,14,949.4721938069141,False
1,32,15,973.049235479616,False
