Timer,K_decision,Rejection_Threshold,Final_Error,Converged
1,8,5,1557.3960851524712,False
1,8,6,1557.3960851524712,False
1,8,7,1557.3960851524712,False
1,8,8,1557.3960851524712,False
1,8,9,1557.3960851524712,False
1,8,10,1557.3960851524712,False
1,8,11,1557.3960851524712,False
1,8,12,1557.3960851524712,False
1,8,13,1557.3960851524712,False
1,8,14,1557.3960851524712,False
1,9,5,2474.3231235676685,False
1,9,6,2750.348564188124,False
1,9,7,1642.318694956027,False
1,9,8,2096.1495595234446,False
1,9,9,1840.6165572351583,False
1,9,10,2660.5763540989233,False
1,9,11,1690.2472988188945,False
1,9,12,1753.4531257893575,False
1,9,13,1712.9739830392593,False
1,9,14,1719.6078424506823,False
1,10,5,1557.3960851524712,False
1,10,6,1557.3960851524712,False
1,10,7,1557.3960851524712,False
1,10,8,1557.3960851524712,False
1,10,9,1557.3960851524712,False
1,10,10,1557.3960851524712,False
1,10,11,1557.3960851524712,False
1,10,12,1557.3960851524712,False
1,10,13,1557.3960851524712,False
1,10,14,1557.3960851524712,False
2,1,5,7012.656782345296,False
2,1,6,4436.101928618577,False
2,1,7,5076.023082161369,False
2,1,8,7438.597997887839,False
2,1,9,2462.450017696396,False
2,1,10,6073.498261344706,False
2,1,11,7809.77907754238,False
2,1,12,3742.0567366621767,False
2,1,13,10183.406355110763,False
2,1,14,25212.02897194817,False
2,2,5,6248.997092669118,False
2,2,6,6028.172750736042,False
2,2,7,2089.2858134775256,False
2,2,8,2295.673581505132,False
2,2,9,8737.616821523696,False
2,2,10,2484.066657228894,False
2,2,11,4982.899654246241,False
2,2,12,1712.277329081221,False
2,2,13,2497.222047152284,False
2,2,14,3461.6157071369275,False
2,3,5,4517.386169662549,False
2,3,6,4540.744065112455,False
2,3,7,3787.195952827541,False
2,3,8,3395.1541680702753,False
2,3,9,3946.714816897362,False
2,3,10,2929.6098458781853,False
2,3,11,3762.494562817442,False
2,3,12,3315.9357245355054,False
2,3,13,1882.0167949862525,False
2,3,14,4466.249163993356,False
2,4,5,2809.0253825650607,False
2,4,6,2847.024360608247,False
2,4,7,2467.4744972575386,False
2,4,8,1973.9047483307836,False
2,4,9,1878.4008688689607,False
2,4,10,3474.6528400480465,False
2,4,11,2630.3187788970745,False
2,4,12,1877.2270067556333,False
2,4,13,2601.0109863237176,False
2,4,14,1895.1452696482443,False
2,5,5,2482.5077536118106,False
2,5,6,2031.9575078855678,False
2,5,7,2340.267052432115,False
2,5,8,2128.826109183982,False
2,5,9,2104.644396419057,False
2,5,10,1705.3051967546348,False
2,5,11,2007.722953372356,False
2,5,12,1921.630006719349,False
2,5,13,2242.685017176849,False
2,5,14,1672.030541800942,False
2,6,5,2975.6496216413493,False
2,6,6,4563.888543454769,False
2,6,7,2356.403409069795,False
2,6,8,2762.561021047702,False
2,6,9,2528.357007730251,False
2,6,10,1935.5395605150052,False
